EX,rarity,Mother Cat / Beefcake Cat?
EX,rarity,Drunken Master Cat / Dancer Cat?
EX,rarity,Super Mr. / Hyper Mr.?
EX,rarity,Bondage CatNEO / Ultimate Bondage Cat?
EX,rarity,Executioner / Dark Lazer?
EX,rarity,Cat Gang / Heavy Assault C.A.T?
EX,rarity,Leaf Cat / Lollycat?
EX,rarity,Miss MONEKO?
EX,rarity,Biker Cat / Unicycle Cat?
EX,rarity,Ninja Frog Cat / Flying Ninja Cat?
EX,rarity,Devil Cat / Skelecat?
EX,rarity,Knight Cat / Pastry Cat?
EX,rarity,Madame Sumo / Riceball Cat?
EX,rarity,Samba Cat / Gato Amigo?
EX,rarity,Tights Cat / Loincloth Cat?
EX,rarity,True Valkyrie Cat / Holy Valkyrie Cat?
EX,rarity,Crazed Bahamut Cat / Awakened Bahamut Cat?
EX,rarity,Full Color Kerihime / Wedding Kerihime?
EX,rarity,Cat Princess Beauty?
EX,rarity,Cramped Cats?
EX,rarity,Luchador Cat?
SR,rarity,Avalokitesvara Cat / Tathagata Cat?
SR,rarity,Angry Delinquent Cat / Ultra Delinquent Cat?
SR,rarity,Dancing Flasher Cat / Can Can Cat?
SR,rarity,Sadako Cat / Octopus Cat?
UR,rarity,Unknown Cat / Ultralan Pasalan?
SR,rarity,Hacker Cat / Cyberpunk Cat?
SR,rarity,Butterfly Cat / Fishman Cat?
RR,rarity,Masai Cat / Jiangshi Cat?
RR,rarity,Solar Cat / Chill Cat?
SR,rarity,Face Cat / iCat?
SR,rarity,Sexy Bath Cat / Luxury Bath Cat?
RR,rarity,Paris Cat / Cyborg Cat?
UR,rarity,Ice Queen Cat / Ice Crystal Cat?
UR,rarity,Cat Machine Mk 2 / Cat Machine Mk 3?
UR,rarity,Greater Demon Cat / Balrog Cat?
EX,rarity,Geisha Cat?
RR,rarity,Jurassic Cat Sitter / Catasaurus?
RR,rarity,Thor Cat / Maximum the Fighter?
RR,rarity,Captain Cat / Dread Pirate Catley?
RR,rarity,Phantom Thief Cat / Goemon Cat?
RR,rarity,Monk Cat / Sanzo Cat?
RR,rarity,Fisherman Cat / Doctor Cat?
RR,rarity,Necromancer Cat / Necro-Dancer Cat?
UR,rarity,Filibuster Cat?
EX,rarity,Cat Transportation Type 10?
